,Domaine,Titre,Definition,Competences_Emploi,Acces_Emploi,Appellations
75,commerce  vente et grande distribution,boulangerie - viennoiserie d1102,prepare et realise des produits de boulangerie et de viennoiserie selon les regles d'hygiene et de securite alimentaires. peut effectuer la vente de produits de boulangerie  viennoiserie. peut gerer un commerce de detail alimentaire (boulangerie  boulangerie-patisserie  ...). ,competences de base savoir-faire savoirs selectionner et doser les ingredients (farine  levure  additifs  ...) pour la realisation des pates a pain ou a viennoiserie  les melanger et effectuer le petrissage  l'abaisse conduire une fermentation diviser la masse de pate en patons bouler et effectuer la tourne ou le faconnage des patons confectionner des viennoiseries cuire des pieces de viennoiserie cuire des patons defourner des pains et viennoiseries decorer des produits culinaires entretenir un espace de vente entretenir un poste de travail nettoyer du materiel ou un equipement boulage des patons utilisation de materiel de nettoyage utilisation de petrin mecanique petrissage manuel tourage de pate caracteristiques des farines calcul de quantite regles d'hygiene et de securite alimentaire produits de boulangerie conversion d'unites de mesure ,avec_diplome_cap  bep bac bac brevet_boulangerie sans_diplome_ni_experience poste aide boulanger,aide-boulanger   aide-boulangere boulanger   boulangere boulanger-patissier   boulangere-patissiere boulanger-patissier-traiteur   boulangere-patissiere-traiteuse boulanger-traiteur   boulangere-traiteuse boulanger-viennoisier   boulangere-viennoisiere chef boulanger   boulangere ouvrier boulanger   ouvriere boulangere 
76,commerce  vente et grande distribution,charcuterie - traiteur d1103,prepare et realise des produits de charcuterie et des produits traiteurs (entrees froides  entrees chaudes  plats cuisines) selon les regles d'hygiene et de securite alimentaires. peut effectuer la vente de produits de charcuterie et de produits traiteurs. peut gerer un commerce de detail alimentaire (charcuterie  boucherie-charcuterie  ...). ,competences de base savoir-faire savoirs planifier la production selon les commandes de clients  les produits en stocks et la saisonnalite eplucher des legumes et des fruits realiser la salaison d'une viande realiser le fumage d'une viande conditionner un produit alimentaire disposer des produits sur le lieu de vente renseigner un client prendre la commande des clients entretenir un poste de travail nettoyer du materiel ou un equipement entretenir un espace de vente procedures de conditionnement regles d'hygiene et de securite alimentaire tracabilite des produits chaine du froid utilisation de materiel de nettoyage types de produits de charcuterie techniques d'embossage de viande decoupe de viande techniques de fabrication de produits de charcuterie traiteur modes de conservation des produits alimentaires ,avec_diplome_cap bep bac bac brevet_charcuterie traiteur alimentation sans_diplome_ni_experience poste aide charcutier,aide-charcutier   aide-charcutiere charcutier   charcutiere charcutier-traiteur   charcutiere-traiteuse chef charcutier-traiteur   charcutiere-traiteuse chef de fabrication en charcuterie chef de laboratoire en charcuterie ouvrier charcutier   ouvriere charcutiere rotisseur   rotisseuse 
77,commerce  vente et grande distribution,patisserie  confiserie  chocolaterie et glacerie d1104,prepare et confectionne des produits de patisserie  confiserie  chocolaterie et glacerie selon les regles d'hygiene et de securite alimentaires. peut effectuer la vente de produits de patisserie  confiserie  chocolaterie et glacerie. peut gerer un commerce de detail alimentaire (patisserie  confiserie  chocolaterie  glacier  ...). ,competences de base savoir-faire savoirs selectionner et doser les ingredients (farine  levure  additifs  ...) pour la realisation des produits melanger des produits et ingredients culinaires cuire des produits de patisserie  confiseries ou pieces de chocolat effectuer le montage et la decoration des produits patissiers entretenir un poste de travail entretenir un espace de vente nettoyer du materiel ou un equipement utilisation de materiel de nettoyage utilisation de petrin mecanique petrissage manuel conversion d'unites de mesure calcul de quantite caracteristiques des farines fermentation des pates a patisserie regles d'hygiene et de securite alimentaire produits de patisserie caracteristiques des pates de patisserie chaine du froid ,avec_diplome_cap bep bac brevet_brevet_maitrise bac patisserie chocolaterie confiserie alimentation sans_diplome_ni_experience poste aide patissier,aide-patissier   aide-patissiere biscuitier   biscuitiere chef patissier   patissiere chocolatier   chocolatiere confiseur   confiseuse confiturier   confituriere entremettier   entremettiere glacier   glaciere ouvrier patissier   ouvriere patissiere patissier   patissiere patissier-chocolatier   patissiere-chocolatiere patissier-confiseur   patissiere-confiseuse patissier tourier   patissiere touriere patissier-traiteur   patissiere-traiteuse 
78,commerce  vente et grande distribution,poissonnerie d1105,realise la preparation de poissons  crustaces et coquillages selon les regles d'hygiene et de securite alimentaires et la reglementation du commerce. peut effectuer la vente de produits de la mer aupres de particuliers  de professionnels (grandes surfaces  industrie alimentaire  ....) et realiser des operations de transformation de poissons (salaisons  conserves  plats traiteur  ...). peut gerer un commerce de detail alimentaire (poissonnerie  ...). ,competences de base savoir-faire savoirs receptionner un produit stocker un produit controler la reception des commandes trier les poissons et effectuer leur preparation ouvrir des coquillages et crustaces mettre en place rafraichir l'etal (glace  decoration)  disposer les poissons  crustaces et coquillages et afficher les prix renseigner un client conditionner un produit entretenir un espace de vente entretenir un poste de travail nettoyer du materiel ou un equipement peche regles d'hygiene et de securite alimentaire cartographie des zones de peche varietes de crustaces varietes de coquillages elevage de produits de la mer modes de conservation des produits alimentaires chaine du froid typologie du client entretien d'un vivier chiffrage calcul de cout utilisation d'outils de decoupe pelage de poissons dressage de plateaux de fruits de mer appreciation sensorielle utilisation de materiel de nettoyage varietes de poissons ,avec_cap  bep poissonnerie mareyage alimentation sans_diplome_ni_experience,ecailler   ecaillere en poissonnerie employe   employee de maree employe   employee en poissonnerie fileteur   fileteuse mareyeur   mareyeuse poissonnier   poissonniere poissonnier-traiteur   poissonniere-traiteuse 
79,commerce  vente et grande distribution,vente en alimentation d1106,realise la vente de produits alimentaires (frais et hors frais) selon la reglementation du commerce  les regles d'hygiene et de securite alimentaires et les objectifs commerciaux de l'enseigne  de l'entreprise. peut effectuer la preparation (cuisson  coupe  realisation de plateaux  ...) de produits frais. ,competences de base savoir-faire savoirs disposer des produits sur le lieu de vente ranger des produits ou marchandises selon leurs dates de validite et les conditions de conservation accueillir une clientele proposer un service  produit adapte a la demande client controler l'etat de conservation d'un produit perissable retirer un produit impropre a la vente renseigner le support de suivi de tracabilite des marchandises (dates de livraison  releves des temperatures  numeros de lot  ...) suivre l'etat des stocks definir des besoins en approvisionnement preparer les commandes entretenir un espace de vente entretenir un poste de travail nettoyer du materiel ou un equipement utilisation d'engins de manutention non motorises (transpalette  diable  ...) techniques d'inventaire logiciels de gestion de stocks argumentation commerciale gestes et postures de manutention gestion des stocks et des approvisionnements techniques de vente stockage de produits alimentaires chaine du froid regles d'hygiene et de securite alimentaire utilisation d'appareils de lecture optique de codes-barres (pistolet  flasheur  ...) ,avec_diplome_cap bep bac vente commerce distribution formations metiers bouche boulangerie patisserie boucherie poissonnerie demandees avec_experience vente sans_diplome_maitrise logiciel gestion stocks,epicier   epiciere marchand   marchande de fruits et legumes vendeur   vendeuse de fruits et legumes vendeur   vendeuse de primeurs vendeur   vendeuse en alimentation generale vendeur   vendeuse en boucherie vendeur   vendeuse en boucherie-charcuterie vendeur   vendeuse en boulangerie-patisserie vendeur   vendeuse en charcuterie vendeur   vendeuse en chocolaterie vendeur   vendeuse en confiserie vendeur   vendeuse en cremerie vendeur   vendeuse en epicerie vendeur   vendeuse en epicerie fine vendeur   vendeuse en poissonnerie vendeur   vendeuse en produits biologiques vendeur   vendeuse en produits dietetiques vendeur   vendeuse en produits frais vendeur   vendeuse en rotisserie vendeur   vendeuse en vins et spiritueux vendeur   vendeuse rayon fromages vendeur   vendeuse rayon traiteur 
80,commerce  vente et grande distribution,vente en gros de produits frais d1107,realise des operations de vente en gros de produits frais (fruits  legumes  fleurs  ...) destines a un public de professionnels (restaurateurs  detaillants  collectivites  ...) selon la reglementation commerciale  les regles d'hygiene et de securite alimentaires et la strategie commerciale de l'entreprise. peut preparer les commandes des clients. ,competences de base savoir-faire savoirs accueillir une clientele proposer un service  produit adapte a la demande client negocier des prix definir des modalites de paiement adaptees etablir une commande suivre l'etat des stocks presenter les couts et delais de livraison a un client organiser le transport des marchandises developper un portefeuille clients et prospects commande en gros techniques de vente marketing   mercatique modes de conservation des produits alimentaires chaine du froid regles d'hygiene et de securite alimentaire reglementation du commerce electronique logiciels de gestion de stocks chiffrage calcul de cout argumentation commerciale techniques commerciales e-procurement normes redactionnelles ,avec_diplome_bac+2 bts dut vente commerce avec_experience commerce gros sans_diplome_langue_etrangere maitrise logiciel gestion stock,aide vendeur   vendeuse de produits frais en gros commercial   commerciale en produits frais en gros commis vendeur   commise vendeuse de produits frais en gros marchand   marchande de bestiaux vendeur   vendeuse au comptoir de produits frais vendeur   vendeuse carreau vendeur   vendeuse de produits frais en gros vendeur   vendeuse en gros de produits frais vendeur   vendeuse grossiste en produits frais 
81,commerce  vente et grande distribution,achat vente d'objets d'art  anciens ou d'occasion d1201,realise des transactions d'achat et de revente d'objets d'art (tableaux  sculptures  ...)  d'objets anciens (livres  gravures  ...) ou d'articles d'occasion (meubles  vetements  ...) pour une clientele de professionnels ou de particuliers selon la reglementation du commerce de l'art  du commerce de l'antiquite et de l'occasion. peut realiser des travaux de restauration d'oeuvres d'art et d'objets anciens. peut authentifier et dater des oeuvres d'art et des objets anciens. ,competences de base savoir-faire savoirs preparer les objets pour la vente etiqueter un produit disposer des produits sur le lieu de vente etudier une demande client conseiller un client enregistrer la vente d'un article editer une facture proposer un service complementaire a la vente rechercher des objets d'art  anciens ou d'occasion aupres de professionnels ou de particuliers histoire de l'art techniques commerciales argumentation commerciale legislation du commerce de detail de biens d'occasion techniques de vente cours des marches de l'art reglementation du commerce de l'art procedures d'encaissement ,avec_experience commerce vente commerce objets art objets anciens occasion sans_diplome diplome_licence master recherche histoire histoire art archeologie commerce objets art galeriste objets anciens antiquaire agrement delivre autorites judiciaires cour cassation cour appel administratives douanes organisation syndicale syndicat francais experts professionnels oeuvres art objets collection expertise oeuvres art objets anciens inscription registre revendeurs objets mobiliers aupres prefecture commerce objets occasion,acheteur vendeur   acheteuse vendeuse d'or  de metaux precieux acheteur vendeur   acheteuse vendeuse en depot-vente antiquaire bouquiniste brocanteur   brocanteuse fripier   fripiere galeriste responsable de galerie d'art vendeur   vendeuse en antiquites 
82,commerce  vente et grande distribution,coiffure d1202,effectue des soins et traitements capillaires dans un but d'hygiene et d'esthetique. conseille et aide au choix de coiffures  de coupes et coiffes en tenant compte de la mode  de la morphologie et du gout du client. peut realiser l'application de coloration temporaire ou durable. intervient dans l'accueil des clients et la vente de produits (accessoires de coiffure  produits de traitement capillaire  produits de beaute  ...). peut coordonner une equipe ou diriger un salon. ,competences de base savoir-faire savoirs accueillir le client et l'installer identifier la coiffure attendue (coupe  coloration  traitement  ...) et conseiller le client (morphologie  implantation des cheveux  ...) realiser le diagnostic capillaire  les preparations du lavage et le shampoing couper les cheveux (degrades  effiles  piquetes) proceder a la mise en forme ou en volume des cheveux (enroulement  bouclage  brushing  ...)  au coiffage  a la fixation ou brillance (laque  gel  ...) presenter au client sa coiffure sous differents angles pour recueillir son avis entretenir un outil ou materiel entretenir des locaux entretenir un poste de travail disposer des produits sur le lieu de vente diagnostic capillaire techniques de coupes de cheveux techniques de sechage principes de la relation client coiffure femme coiffure homme coiffure enfant manipulation d'outil tranchant (ciseaux de coupe  cranteur  ...) ,cap bep brevet_coiffure formation_complementaire styliste visagiste coloriste permanentiste vent,assistant   assistante de coiffure assistant coiffeur   assistante coiffeuse chef coiffeur   coiffeuse coiffeur   coiffeuse coiffeur   coiffeuse a domicile coiffeur   coiffeuse dames coiffeur   coiffeuse messieurs coiffeur   coiffeuse mixte coiffeur   coiffeuse styliste coiffeur   coiffeuse visagiste coiffeur barbier   coiffeuse barbiere coiffeur createur   coiffeuse creatrice coloriste permanentiste formateur coiffeur   formatrice coiffeuse gerant   gerante salon de coiffure gerant technicien   gerante technicienne de salon de coiffure posticheur   posticheuse responsable salon de coiffure styliste visagiste en coiffure technicien   technicienne en coloration technicien coupeur   technicienne coupeuse en coiffure 
83,commerce  vente et grande distribution,hydrotherapie d1203,realise les soins corporels prescrits a des personnes (curistes  clients) et les accompagne durant la prestation ou assiste des professionnels des soins medicaux (kinesitherapeute  medecin thermal  ...) selon les regles d'hygiene et protocoles therapeutiques. peut coordonner une equipe. ,competences de base savoir-faire savoirs accueillir la personne  identifier les soins appropries et lui en presenter les modalites (resultats attendus  duree de traitement) installer la personne sur le lieu de soins (appareil  baignoire  douche  cabine  ...) appliquer les soins corporels (hydrotherapie  fangotherapie) ou surveiller le deroulement des soins selon le protocole assister les masseurs-kinesitherapeutes  medecins pour l'application de soins lors de cure medicalisee informer les personnels de sante des reactions de la personne (rougeur  essoufflement  ...) entretenir un outil ou materiel entretenir un poste de travail regles d'hygiene et d'asepsie principes de la relation client procedures de nettoyage et de desinfection techniques de balneotherapie hydrogeologie hydrologie techniques d'hydrotherapie ,cap bep hydrotherapie soins esthetiques corporels formation_appareil ultraviolets uv balneotherapie,agent   agente d'accompagnement en thermalisme agent   agente de cure thermale agent   agente de soins en hydrotherapie agent   agente de thermalisme agent   agente en hydrotherapie agent   agente en soins thermaux agent hydrothermal   agente hydrothermale agent thermal   agente thermale animateur   animatrice en aqua gymnastique auxiliaire en hydrotherapie baigneur   baigneuse doucheur   doucheuse hydrobalneologue hydrotherapeute 
84,commerce  vente et grande distribution,location de vehicules ou de materiel de loisirs d1204,realise tout ou partie des operations de location de materiels de transport ou de loisirs selon les regles de securite des biens et des personnes. peut coordonner l'activite d'une equipe. ,competences de base savoir-faire savoirs accueillir une clientele renseigner un client etudier une demande client proposer un service  produit adapte a la demande client etablir un contrat informer le client sur les modalites de location verifier l'etat general  le fonctionnement du materiel de location  identifier des anomalies et effectuer l'entretien de premier niveau enregistrer une reclamation client proposer des solutions techniques a un client realiser le suivi administratif d'un contrat de location realiser un suivi d'activite droit commercial procedures d'entretien de premier niveau des equipements et materiels outils bureautiques techniques de prevention et de gestion de conflits techniques de vente modalites d'accueil ,avec_experience location materiel transport sans_diplome diplome_bac bts tertiaire tourisme gestion acces langues etrangeres anglais permis conduire voiture bateau,agent   agente d'operations de location de vehicules agent   agente de comptoir en location de materiel de transport agent   agente de comptoir en location de vehicules chaisier   chaisiere charge   chargee de location d'engins et de materiel de chantier charge   chargee de location de materiel de transport ou de loisirs charge   chargee de location de moyen de transport loueur   loueuse d'avions de tourisme loueur   loueuse d'engins nautiques loueur   loueuse de bateaux loueur   loueuse de bateaux avec permis loueur   loueuse de bateaux sans permis loueur   loueuse de bicyclettes loueur   loueuse de canoe kayak loueur   loueuse de pedalos loueur   loueuse de vehicules automobiles loueur   loueuse de vehicules hippomobiles loueur   loueuse de voiliers plagiste responsable de comptoir en location de voitures 
85,commerce  vente et grande distribution,nettoyage d'articles textiles ou cuirs d1205,receptionne piece par piece des articles en textile  cuir ou peausserie et effectue leur nettoyage et repassage selon les normes d'hygiene et de securite et la reglementation environnementale. enregistre les paiements et remet les articles traites aux clients. peut realiser des operations de couture  de teinture et l'entretien des machines et equipements. peut coordonner une equipe ou diriger une structure. ,competences de base savoir-faire savoirs renseigner un client identifier une tache ou une salissure trier les articles et determiner les modes de nettoyage (a l'eau  a sec  avec detachage  ...) appliquer un produit au pistolet detacher des tissus et peaux charger le linge dans les machines et enclencher le programme preparer un article en vue du repassage repasser du textile (vetements  linge) classer les articles nettoyes sur un portant restituer les articles au client apres controle du nettoyage  repassage caracteristiques des cuirs et peaux procedures de nettoyage et de desinfection techniques de detachage produits de nettoyage produits d'entretien textile reglementation des pressings techniques de repassage utilisation de console vapeur lecture de codes et symboles symboles d'entretien des textiles gestes et postures de manutention utilisation d'engins de manutention non motorises (transpalette  diable  ...) ,sans_diplome_ni_experience cap entretien articles textiles entreprises artisanales acces diplome_bac bp maintenance articles textiles option pressing bac metiers pressing blanchisserie bac+2 bts management unites commerciales fonction responsable pressing,appreteur-detacheur   appreteuse-detacheuse detacheur   detacheuse employe   employee de pressing linger   lingere nettoyeur   nettoyeuse en cuir et peausserie raviveur   raviveuse cuir et peausserie receptionniste de pressing repasseur   repasseuse repasseur   repasseuse premiere main repasseur   repasseuse seconde main responsable de pressing teinturier   teinturiere en cuir 
86,commerce  vente et grande distribution,reparation d'articles en cuir et materiaux souples d1206,remet en etat  renove  repare tout article en cuir ou en autres materiaux souples (chaussures  sacs  ...)  selon les regles d'hygiene et de securite. peut fabriquer des articles en cuir sur demande de clients  realiser des prestations de service (reproduction de cles  plaques d'immatriculation  ...). peut diriger une structure. ,competences de base savoir-faire savoirs renseigner un client determiner les reparations ou modifications de l'article regrouper des articles par type de reparation etiqueter un produit changer une piece defectueuse demonter une piece de son support positionner des elements de renfort assembler des fournitures standardisees verifier la stabilite  l'aplomb  ... et proceder aux ajustements necessaires realiser le bichonnage d'un article de maroquinerie fixer des elements de garniture remettre a la teinte des parties d'articles de maroquinerie entretenir une machine ou un equipement conseiller un client encaisser le montant d'une vente techniques de prise de mesures (habillement) techniques de collage utilisation de machine plate caracteristiques des fils techniques d'affutage caracteristiques des cuirs et peaux caracteristiques des materiaux souples couture manuelle ,avec_cap cordonnerie reparation confection chaussures experience sans_diplome_emplois cordonnerie multiservices,cordonnier   cordonniere cordonnier-bottier   cordonniere-bottiere cordonnier reparateur   cordonniere reparatrice operateur   operatrice en cordonnerie et multiservices reparateur   reparatrice d'articles en cuir reparateur   reparatrice en chaussures reparateur   reparatrice en maroquinerie 
87,commerce  vente et grande distribution,retouches en habillement d1207,repare et retouche a la machine ou manuellement des vetements (changement de doublure  ourlet  remise a taille  rapiecage...) de matieres differentes (tissu lourd  maille  cuir  ...) selon les mesures du client  l'esthetique et le confort attendus. peut realiser des operations de renovation et ou protection des articles (remise a teinte  ...). peut confectionner des articles (vetement  rideaux  ...) et conseiller le client lors de ses achats. peut coordonner une equipe et diriger un service ou une structure (retoucherie  ...). ,competences de base savoir-faire savoirs identifier les retouches  reparations a realiser sur le vetement et renseigner le client sur les conditions marquer les retouches et reparations lors de l'essayage verifier les dimensions et la symetrie du vetement selectionner les materiaux  produits et accessoires de l'article retoucher un vetement inserer les elements de serrage (elastique  ...)  renfort et protection (coudiere  ...) sur l'article assembler prealablement et fixer les differents elements (doublure  col  manche  ...) par couture verifier la symetrie et le bien-aller du vetement sur mannequin ou lors de l'essayage repasser du textile (vetements  linge) enregistrer la vente d'un article encaisser le montant d'une vente techniques d'assemblage montage en habillement confection lecture de fiche technique appreciation esthetique utilisation de machine plate utilisation d'ourleuse calcul de metrage couture manuelle caracteristiques des tissus et matieres textiles caracteristiques des fils types de morphologie techniques de coupe de textile  cuir techniques de piqure machine techniques de collage techniques de prise de mesures (habillement) ,cap bep couture flou habillement vetements mesure accessoires avec_experience confection sans_diplome,essayeur-retoucheur   essayeuse-retoucheuse reparateur   reparatrice en habillement retoucheur   retoucheuse en confection retoucheur   retoucheuse en cuir retoucheur   retoucheuse en habillement retoucheur vendeur   retoucheuse vendeuse 
88,commerce  vente et grande distribution,soins esthetiques et corporels d1208,realise les soins d'embellissement et d'entretien corporel de personnes et les conseille en matiere d'esthetique et de produits de beaute selon les regles d'hygiene. peut encadrer une equipe ou diriger une structure. ,competences de base savoir-faire savoirs accueillir une clientele proposer un service  produit adapte a la demande client determiner le traitement adapte a la personne et presenter les produits  l'application des soins nettoyer et preparer le corps  le visage  les mains  les pieds aux soins (demaquillage  desinfection  ...) appliquer les produits (masque  serum  creme) et realiser les soins du visage  du corps  de manucure ou de maquillage entretenir un outil ou materiel entretenir un poste de travail disposer des produits sur le lieu de vente definir des besoins en approvisionnement merchandising   marchandisage principes de la relation client cosmetique regles d'hygiene et d'asepsie procedures de nettoyage et de desinfection caracteristiques des parfums ,avec_cap soins esthetiques corporels diplome_bac brevet_bac +2 bts esthetique cosmetique habilitation appareil ultraviolets uv vent,animateur   animatrice beaute conseiller   conseillere beaute conseiller   conseillere en image personnelle conseiller   conseillere minceur conseiller   conseillere relooking cosmeticien   cosmeticienne directeur   directrice d'institut de beaute directeur   directrice technique de centre de beaute employe   employee d'institut de beaute estheticien   estheticienne estheticien   estheticienne a domicile estheticien-cosmeticien   estheticienne-cosmeticienne estheticien-manucure   estheticienne-manucure estheticien praticien   estheticienne praticienne formateur   formatrice en esthetisme gerant   gerante d'institut de beaute manucure manucure vendeur   vendeuse en produits de beaute maquilleur beaute   maquilleuse beaute operateur   operatrice de bronzage par ultraviolets - uv perceur corporel   perceuse corporelle prothesiste ongulaire responsable d'institut de beaute socio-estheticien   socio-estheticienne spa manager spa praticien   praticienne styliste ongulaire tatoueur   tatoueuse visagiste en esthetique 
89,commerce  vente et grande distribution,vente de vegetaux d1209,realise la vente de vegetaux d'interieur (fleurs coupees  plantes fleuries  compositions florales  plantes vertes  fleurs sechees  ...)  d'exterieur (arbustes d'ornement  arbres fruitiers  plantes a massifs  rosiers  bulbes  ...) et de produits ou d'accessoires de jardinerie (pots  engrais  terreau  produits phytosanitaires  ...) aupres d'une clientele de particuliers selon la reglementation du commerce  les regles d'hygiene et de securite  et la strategie commerciale de l'entreprise. peut realiser des decorations a l'occasion d'evenements publics ou prives (salon  mariage  enterrement  ...). peut coordonner une equipe. ,competences de base savoir-faire savoirs accueillir une clientele proposer un service  produit adapte a la demande client encaisser le montant d'une vente proposer un service complementaire a la vente receptionner un produit verifier la conformite de la livraison disposer des produits sur le lieu de vente trier des vegetaux controler l'etat de vegetaux effectuer l'entretien de vegetaux entretenir des locaux entretenir un espace de vente procedures d'encaissement modalites de stockage de vegetaux types de produits d'entretien des plantes principes de la relation client argumentation commerciale techniques de vente gestes et postures de manutention horticulture floriculture botanique typologie du client ,avec_diplome_cap bep bac+2 bts dut vente commerce agriculture formations floriculture horticulture demandees avec_experience memes sans_diplome_certificat delivre ministere agriculture applicateurs distributeurs produits antiparasitaires dapa,fleuriste fleuriste-decorateur floral   fleuriste-decoratrice florale vendeur   vendeuse conseil en jardinerie vendeur   vendeuse de fleurs vendeur   vendeuse de vegetaux vendeur   vendeuse en jardinerie vendeur   vendeuse en materiel de jardinage vendeur   vendeuse pepinieriste 
90,commerce  vente et grande distribution,vente en animalerie d1210,realise la vente d'animaux vivants domestiques ou non domestiques et d'articles destines a leur entretien et leur bien-etre (aliments  cages  jouets  ...) selon la reglementation du commerce  les regles d'hygiene et de securite et la strategie commerciale de l'entreprise. peut coordonner une equipe. ,competences de base savoir-faire savoirs accueillir une clientele renseigner le client sur les races  modes de vie des animaux conseiller le client sur les articles destines aux animaux et proceder a la vente encaisser le montant d'une vente editer une facture proposer un service complementaire a la vente receptionner les animaux  verifier leur etat  carnet de sante et les repartir dans les cages  les aquariums verifier la conformite de la livraison realiser la mise en rayon identifier les troubles et symptomes des animaux et definir l'intervention appropriee entretenir l'espace de vie d'un animal procedures d'encaissement techniques de vente typologie du client biologie animale zoologie methodes d'analyse en parasitologie techniques d'approche et de manipulation des animaux gestes et postures de manutention pathologies animales regles d'hygiene et de proprete principes de la relation client argumentation commerciale procedures de prevention des risques sanitaires ,avec_diplome_cap bep bac+2 l2 bts vente commerce formations vente animalerie acces avec_experience vente sans_diplome_certificat capacite delivre ministere agriculture environnement vente animaux,vendeur   vendeuse conseil en aquariophilie vendeur   vendeuse d'animaux vendeur   vendeuse en alimentation animale vendeur   vendeuse en animalerie vendeur   vendeuse en articles d'animalerie vendeur   vendeuse en produits animaliers vendeur animalier   vendeuse animaliere 
91,commerce  vente et grande distribution,vente en articles de sport et loisirs d1211,realise la vente d'articles et d'accessoires destines a des activites sportives  culturelles ou de loisirs aupres d'une clientele de particuliers selon la reglementation du commerce  la strategie et les objectifs commerciaux de l'entreprise. peut proposer des services complementaires (reglages de cycles  maintenance d'instruments de musique  preparation d'armes a feu  ...). peut coordonner une equipe. ,competences de base savoir-faire savoirs accueillir une clientele proposer un service  produit adapte a la demande client encaisser le montant d'une vente proposer un service complementaire a la vente realiser la mise en rayon realiser le balisage et l'etiquetage des produits en rayon ranger des produits ou marchandises selon leurs dates de validite et les conditions de conservation suivre l'etat des stocks definir des besoins en approvisionnement preparer les commandes receptionner un produit verifier la conformite de la livraison procedures d'encaissement techniques de mise en rayon techniques d'inventaire principes de la relation client gestion des stocks et des approvisionnements gestes et postures de manutention logiciels de gestion de stocks typologie du client techniques de vente argumentation commerciale ,avec_diplome_cap bep bac+2 bts dut vente commerce distribution connaissance domaine specifique litterature musique discipline sportive sans_diplome_autorisation delivree prefecture ministere interieur commerce armes munitions licence agrement delivres direction douanes commerce tabac produits derives tabac maitrise logiciel gestion stock,buraliste disquaire kiosquier   kiosquiere libraire skiman   skiwoman vendeur   vendeuse buraliste vendeur   vendeuse de journaux vendeur   vendeuse en articles de librairie papeterie vendeur   vendeuse en articles de papeterie vendeur   vendeuse en articles de sport vendeur   vendeuse en articles pour fumeurs vendeur   vendeuse en bureau de tabac vendeur   vendeuse en cadeaux souvenirs vendeur   vendeuse en cigarettes electroniques vendeur   vendeuse en cycles vendeur   vendeuse en disques vendeur   vendeuse en encadrement vendeur   vendeuse en equipement de sport vendeur   vendeuse en fournitures artistiques vendeur   vendeuse en instruments et accessoires de musique vendeur   vendeuse en jeux electroniques vendeur   vendeuse en jeux et loterie vendeur   vendeuse en jeux video vendeur   vendeuse en jouets vendeur   vendeuse en kiosque vendeur   vendeuse en librairie vendeur   vendeuse en loisirs creatifs vendeur   vendeuse en produits culturels vendeur   vendeuse en produits culturels et ludiques vendeur   vendeuse en produits ludiques vendeur   vendeuse en ski vendeur armurier   vendeuse armuriere 
92,commerce  vente et grande distribution,vente en decoration et equipement du foyer d1212,realise la vente de produits destines a l'amenagement  la decoration et l'equipement du foyer aupres d'une clientele de particuliers selon la reglementation du commerce  la strategie et les objectifs commerciaux de l'entreprise. peut effectuer des operations de service apres-vente. peut coordonner une equipe. ,competences de base savoir-faire savoirs accueillir une clientele proposer un service  produit adapte a la demande client encaisser le montant d'une vente proposer un service complementaire a la vente realiser la mise en rayon realiser le balisage et l'etiquetage des produits en rayon ranger des produits ou marchandises selon leurs dates de validite et les conditions de conservation suivre l'etat des stocks definir des besoins en approvisionnement preparer les commandes receptionner un produit verifier la conformite de la livraison procedures d'encaissement techniques de mise en rayon techniques de vente typologie du client logiciels de gestion de stocks gestion des stocks et des approvisionnements principes de la relation client argumentation commerciale gestes et postures de manutention ,avec_diplome_cap bep bac+2 bts dut vente commerce avec_experience memes sans_diplome_connaissance formation_maconnerie mecanique electricite couture certificat aptitude_conduite_securite caces aptitude_medicale periodiquement outils informatiques logiciel gestion stock logiciel conception plan,cuisiniste droguiste quincaillier   quincailliere vendeur   vendeuse de bois au detail vendeur   vendeuse de cuisines vendeur   vendeuse de salles de bains vendeur   vendeuse de verre a la coupe vendeur   vendeuse en accessoires automobile vendeur   vendeuse en amenagement du foyer vendeur   vendeuse en articles d'electricite vendeur   vendeuse en articles de bazar vendeur   vendeuse en articles de decoration vendeur   vendeuse en arts de la table vendeur   vendeuse en bricolage vendeur   vendeuse en carrelage vendeur   vendeuse en chauffage-ventilation-isolation vendeur   vendeuse en droguerie vendeur   vendeuse en electromenager vendeur   vendeuse en equipement du foyer vendeur   vendeuse en image et son vendeur   vendeuse en informatique vendeur   vendeuse en linge de maison vendeur   vendeuse en literie vendeur   vendeuse en luminaires vendeur   vendeuse en materiaux de construction vendeur   vendeuse en menuiserie vendeur   vendeuse en meubles vendeur   vendeuse en motoculture de plaisance vendeur   vendeuse en outillage vendeur   vendeuse en petit electromenager vendeur   vendeuse en plomberie sanitaire vendeur   vendeuse en produits blancs vendeur   vendeuse en produits bruns vendeur   vendeuse en produits multimedia vendeur   vendeuse en quincaillerie vendeur   vendeuse en revetement de mur  sol vendeur   vendeuse en telephonie vendeur   vendeuse en tissus 
